Skill,skill_chinese,category,topic,PreKnowledge,
Changes to Earth's surface: volcanic eruptions,地球表面的变化：火山爆发,Earth events,literacy-in-science,Classify changes to Earth's surface I,
The Louisiana Purchase,路易斯安那购地,Early 19th century American history,us-history,,
Abraham Lincoln,亚伯拉罕·林肯,Historical figures,us-history,,
Thanksgiving,感恩节,Cultural celebrations,civics,,
Reconstruction,重建,The Civil War and Reconstruction,us-history,The Civil War: the end of the war,
Foundations of Inca civilization,印加文明的基础,Early Americas,world-history,,
Water on Earth,地球上的水,Earth's features,earth-science,Natural resources,
D铆a de los Muertos,亡灵节,Cultural celebrations,culture,,
Rosh Hashanah,罗斯·哈沙纳,Cultural celebrations,culture,,
Susan B. Anthony,苏珊·B·安东尼,Historical figures,us-history,,
Amelia Earhart,阿梅莉亚·埃尔哈特,Historical figures,us-history,,
Identify the purpose of a text,识别文本的目的,Author's purpose,writing-strategies,,
Body systems: digestion,身体系统：消化,Animals,biology,Body parts and their functions,
Benefits of group behavior: leaf-cutter ants,群体行为的好处：切叶蚁,Animals,literacy-in-science,,
Kwanzaa,宽扎节,Cultural celebrations,culture,,
The Columbian Exchange,哥伦布交换,Age of Exploration,world-history,French and English expeditions: part I,
Middle Colonies: founding and government,中间殖民地：创立和政府,Colonial America,us-history,Identify the Thirteen Colonies,
The ancient Silk Road: geography and transportation,古代丝绸之路：地理和运输,The Silk Road,world-history,,
Frederick Douglass,弗雷德里克·道格拉斯,Historical figures,us-history,,
The American Revolution: the rebellion begins,美国革命：叛乱开始,The American Revolution,us-history,The American Revolution: preparing for war,
Source analysis: the Gettysburg Address,来源分析：葛底斯堡演说,The Civil War,us-history,The Civil War: the beginning of the war,
The Great Depression: part II,大萧条：第二部分,20th century American history,us-history,The Great Depression: part I,
Natural resources,自然资源,Earth's features,earth-science,,
How do plants use and change energy?,植物如何使用和转换能量？,Photosynthesis,biology,Identify the photosynthetic organism,
Identify plagiarism,识别剽窃,Research skills,writing-strategies,,
Coral reef biodiversity and human uses: explore a problem,珊瑚礁生物多样性和人类用途：探索问题,Conservation,literacy-in-science,,
Jackie Robinson,杰基·罗宾逊,Historical figures,us-history,,
Origins of Buddhism,佛教的起源,World religions,world-history,Origins of Hinduism,
Introduction to adaptations,适应性介绍,Adaptations,biology,,
State government,州政府,Government,civics,Federal government,
Foundations of Maya civilization,玛雅文明的基础,Early Americas,world-history,,
John Deere,约翰·迪尔,Historical figures,us-history,,
Source analysis: the Declaration of Independence,来源分析：《独立宣言》,The American Revolution,us-history,The American Revolution: the rebellion begins,
Antebellum Period: slavery and politics part II,前内战时期：废奴主义和政治第二部分,Early 19th century American history,us-history,Antebellum Period: slavery and politics part I,
Thomas Jefferson,托马斯·杰斐逊,Historical figures,us-history,,
Identify primary and secondary sources,识别初级和次级来源,Social studies skills,world-history,Identify facts and opinions,
Paul Revere,保罗·里维尔,Historical figures,us-history,,
Harriet Tubman,哈丽特·塔布曼,Historical figures,us-history,,
Ancient Egyptian religion,古埃及宗教,Ancient Egypt and Kush,world-history,,
Introduction to static electricity and charged objects,静电和带电物体的介绍,Electricity,physics,,
The Revolutionary War: conclusion and aftermath,革命战争：结局和后果,The American Revolution,us-history,The Revolutionary War: struggle for independence,
International organizations,国际组织,Government,global-studies,State government,
French and English expeditions: part I,法国和英国的探险：第一部分,Age of Exploration,world-history,Portuguese and Spanish expeditions: part II,
Jamestown: growth of a colony,詹姆斯敦：殖民地的成长,English colonies in North America,us-history,Jamestown: the early years,
The American Revolution: conclusion and aftermath,美国革命：结局和后果,The American Revolution,us-history,The American Revolution: the rebellion begins,
Reading and creating timelines with BCE and CE,使用公元前和公元后阅读和创建时间线,Social studies skills,world-history,Identify primary and secondary sources,
Presidential elections,总统选举,Government,civics,Federal government,
Hanukkah,光明节,Cultural celebrations,culture,,
The Lewis and Clark Expedition,路易斯和克拉克探险,Early 19th century American history,us-history,The Louisiana Purchase,
The Revolutionary War: struggle for independence,革命战争：独立斗争,The American Revolution,us-history,The American Revolution: struggle for independence,
Explore energy transformations: bike ride,探索能量转换：骑自行车,Kinetic and potential energy,physics,Identify changes in gravitational potential energy,
New England colonies: religion and government,新英格兰殖民地：宗教和政府,English colonies in North America,us-history,Plymouth,
World War II: global events,第二次世界大战：全球事件,20th century American history,world-history,"World War II: lead-up to war in Europe, Asia",
Analyze models of the Earth-Sun-Moon system,分析地球-太阳-月球系统模型,Astronomy,earth-science,Identify phases of the Moon,
"Martin Luther King, Jr.",马丁·路德·金，小,Historical figures,us-history,,
Explore energy transformations: roller coaster ride,探索能量转换：过山车之旅,Kinetic and potential energy,physics,Identify changes in gravitational potential energy,
The Articles of Confederation,邦联条款,The Early Republic,us-history,,
Country profile: China,中国的国家概况,Asia: society and environment,global-studies,,
Introduction to natural selection,自然选择的介绍,Adaptations and natural selection,biology,,
Early Mesopotamia,早期美索不达米亚,Ancient Mesopotamia,world-history,,
How do air masses form?,气团是如何形成的？,Weather and climate,earth-science,,
How does particle motion affect gas pressure?,粒子运动如何影响气体压力？,Particle motion and energy,physics,Identify how particle motion affects temperature and pressure,
The War of 1812: causes,1812年战争的原因,Early 19th century American history,us-history,The Louisiana Purchase,
George Washington Carver,乔治·华盛顿·卡弗,Historical figures,us-history,,
The first party system: Federalists and Democratic-Republicans,第一党派体系：联邦党人和民主共和党人,The Early Republic,us-history,The Constitutional Convention,
The Mauryan Empire,孔雀王朝,Ancient South Asia,world-history,,
Ramadan,斋月,Cultural celebrations,culture,,
Early Islamic caliphates,早期伊斯兰哈里发,Islamic empires,world-history,,
Pollinator: ruby-throated hummingbird,授粉者：红喉蜂鸟,Animals,literacy-in-science,,
What is economics?,什么是经济学？,Basic economic principles,economics,,
Jamestown: the early years,詹姆斯敦：早期岁月,English colonies in North America,us-history,Identify the Thirteen Colonies,
Portuguese and Spanish expeditions: part II,葡萄牙和西班牙探险：第二部分,Age of Exploration,world-history,,
Seed disperser: common ostrich,种子传播者：普通鸵鸟,Animals,literacy-in-science,,
Antebellum Period: slavery and politics part I,前内战时期：废奴主义和政治第一部分,Early 19th century American history,us-history,Antebellum Period: economies of the North and South,
Radical Reconstruction,激进重建,Reconstruction,us-history,,
Sitting Bull,坐牛,Historical figures,us-history,,
Early Chinese thought,早期中国思想,Early China,world-history,,
The abolitionists,废奴主义者,The Antebellum period,us-history,Causes of the Civil War: Missouri Compromise to Bleeding Kansas,
Theodore Roosevelt,西奥多·罗斯福,Historical figures,us-history,,
New England colonies: economy and conflict,新英格兰殖民地：经济和冲突,English colonies in North America,us-history,New England colonies: religion and government,
Rosa Parks,罗莎·帕克斯,Historical figures,us-history,,
The Roman Republic: part II,罗马共和国：第二部分,Rome and the Byzantine Empire,world-history,Early Roman society and politics,
Bill Gates,比尔·盖茨,Historical figures,us-history,,
Identify the best design solution to prevent hurricane damage,识别防止飓风损害的最佳设计解决方案,Engineering practices,literacy-in-science,Evaluate multiple design solutions to prevent flooding,
The Civil War: the end of the war,内战：战争的结束,The Civil War and Reconstruction,us-history,The Civil War: the First Battle of Bull Run to Gettysburg,
Ancient Egypt: the Old Kingdom,古埃及：旧王国,Ancient Egypt and Kush,world-history,Ancient Egyptian religion,
Antebellum Period: economies of the North and South,前内战时期：北方和南方的经济,Early 19th century American history,us-history,The War of 1812: events and effects,
World War I: the war begins,第一次世界大战：战争开始,20th century American history,world-history,World War I: the road to war,
Evaluate claims about natural resource use: groundwater,评估关于自然资源使用的声明：地下水,Natural resources and human impacts,earth-science,,
The War of 1812: events and effects,1812年战争：事件和影响,Early 19th century American history,us-history,The War of 1812: causes,
